feature,mean_abs_shap
C1,0.007175940775095577
C14,0.004632216223078258
C13,0.0040863791800450225
TransactionAmt,0.003961718729324269
card6_credit,0.003555449219527339
C11,0.0034925163592628783
V294,0.00275072550229673
V70,0.0025843941805008216
C12,0.0023667125935701275
C8,0.002272439398194853
V258,0.0021087136579162457
V91,0.0017633234970535502
V48,0.0016059683440001638
D4,0.0015598325876538845
C6,0.0015471763584302741
card1,0.0015446252594282868
card2,0.0015023645569610922
P_emaildomain_gmail.com,0.0014677613336350269
card3,0.0014551596436415644
D2,0.0014518962088589265
D15,0.0013468057741334175
M5_F,0.0013413365351823173
card5,0.0013046660017679787
D1,0.0011463086590355553
D3,0.001111775531359262
M6_F,0.001072340543687484
C5,0.0010669428224147365
addr1,0.0010524728662070814
V201,0.0009752964981635054
V53,0.0009732489782550129
V308,0.0009300829706181667
C2,0.000906912869662301
ProductCD_R,0.0008901179266574954
ProductCD_C,0.0008500913545000625
D8,0.0008182623930383069
C10,0.0008145103242630003
Hour_of_Day,0.0007093412426989199
C9,0.0006249051971541767
V281,0.0006210117230066083
V131,0.0005610129232625077
dist1,0.0005561232544690445
D10,0.0005380861011474899
V29,0.0005115591019209438
M3_F,0.0004828929429607005
C4,0.00045717168227076005
D11,0.00044608735448220445
V189,0.0004263195622045045
V82,0.00040773878827367376
R_emaildomain_anonymous.com,0.0003930604826751414
M4_M2,0.00038844166232600513
V317,0.00037260215351479726
V315,0.00036507120418686334
M4_M1,0.0003571447037234141
V87,0.000345196527589289
V307,0.00033485801879796714
R_emaildomain_gmail.com,0.0003290508868160339
V17,0.0003193680948040526
V165,0.0003086972470481773
V283,0.0003048290834252
C7,0.00030283098495704726
card4_mastercard,0.0002917860202223673
V130,0.0002912233580487434
V33,0.0002775970932189063
P_emaildomain_anonymous.com,0.0002672621676745456
V280,0.00026664006115399307
V74,0.0002642131966044295
V102,0.00026363071557656
V203,0.0002626546277091231
ProductCD_H,0.0002616057381278608
V128,0.00026011407531617613
V312,0.00025968047452279224
M4_M0,0.00025204678696975457
V285,0.0002441755607345338
V83,0.00024133996789831835
V310,0.00023954142961175897
V314,0.0002332214691291261
ProductCD_W,0.00022224495856945468
V62,0.00021294171729537234
V296,0.0002117734670004136
V187,0.00020735112268729754
V256,0.00020623048822888856
P_emaildomain_yahoo.com.mx,0.00020038370899273596
V45,0.00019885495671425433
V75,0.00019322261048193692
V309,0.0001926562047638025
V149,0.00019241121910082797
M9_F,0.00018075697702664577
V219,0.00017789520882370186
V38,0.000176403926346061
V313,0.0001752023704769408
V156,0.00017407658314925494
V293,0.00017216538904220023
V12,0.00017053607868094687
V2,0.00017040476096050967
P_emaildomain_yahoo.com,0.00016420353003598917
V133,0.00016319705394289075
V55,0.0001614220824704967
P_emaildomain_sbcglobal.net,0.00016111078184619023
D13,0.0001532555219084407
M2_F,0.00014995373139775235
D14,0.00014739334688075063
ProductCD_S,0.00014448239540066916
V11,0.00014325274803639163
V19,0.00013829516466938525
P_emaildomain_verizon.net,0.00012863897313945705
V152,0.00012621866357043535
V126,0.00012523974436301358
V20,0.00012435124513406206
P_emaildomain_outlook.com,0.00012196887443584687
V94,0.00012177992059979843
V318,0.00012056690660952203
V143,0.00011649164215833465
card4_discover,0.00011535017979784938
D5,0.00011438533432627825
V245,0.00010852868823269605
V36,0.00010494127344912197
V129,9.944362936785132e-05
V320,9.824841854258889e-05
V316,9.575039790758122e-05
V291,9.297699689087523e-05
V61,9.159036562452971e-05
V261,8.707138668744596e-05
V59,8.707097609345302e-05
V216,8.706002614571226e-05
V127,8.696763920715545e-05
P_emaildomain_hotmail.com,8.556450356428345e-05
V78,8.482947797892311e-05
Day_of_Week,8.458058077375101e-05
V274,7.44929390165978e-05
V64,7.428577846270785e-05
R_emaildomain_hotmail.com,7.281742079123317e-05
V34,6.862114271655502e-05
V184,6.858741231569859e-05
V35,6.803388931820548e-05
dist2,6.735263570215764e-05
C3,6.691995641920264e-05
V277,6.626406938758798e-05
V225,6.535608206195353e-05
P_emaildomain_aol.com,6.392327541914188e-05
