feature,mean_abs_shap
V79,0.0016596691162652957
V71,0.0014734262453672531
V48,0.0013644977827552396
V250,0.0007617289153335914
V61,0.0007230635799273243
V72,0.0007132058850858509
card5,0.0006774737888090746
V290,0.0006169036119847076
M8_F,0.0005673071529893087
V287,0.0005244415296300448
D1,0.0005067777640081944
V35,0.0004812832404508773
C5,0.0004099655063400969
M8_T,0.00037055886199755623
D9,0.00036220827396603664
V302,0.0003616071451593931
V230,0.0003537771197955126
V81,0.0003402325176479275
D6,0.00033889184599827726
V42,0.0003386247959435867
V70,0.00032439141091902303
V325,0.00032300297550628287
V78,0.00031862982592289265
V67,0.0003179343980360718
C7,0.00031131793505027015
V170,0.0003052993128357925
P_emaildomain_hotmail.com,0.0002985104609327661
V90,0.000296103323369796
D10,0.00028971879985039187
V292,0.0002720843538734569
R_emaildomain_anonymous.com,0.0002691345632909742
M4_M1,0.00026497952576372714
V174,0.0002647064654246923
V49,0.0002542356224325612
ProductCD_S,0.0002539196281974494
V207,0.0002524481174710614
V229,0.00025207881533973787
V219,0.0002513165596744691
V140,0.00024807478511741404
V171,0.0002461203531294649
V91,0.0002410010433297995
V214,0.00024051733002730503
Hour_of_Day,0.00023876380551644913
V179,0.0002344626140408601
V40,0.00022642627462123743
V228,0.00021685234339924057
V37,0.00021504170634521774
V153,0.00020944773009194388
V199,0.0002051291313188334
D11,0.00018416634054667022
V38,0.00018354957312310833
V69,0.00018200652584089304
V288,0.00018038261933219835
V94,0.0001758486963344872
V185,0.000172231410427385
V59,0.00016611722289913046
V56,0.00016564679484123217
card4_american express,0.00015964318453554857
card4_mastercard,0.0001556503489097616
card4_visa,0.00015431725398631685
card6_debit,0.00015322380541438668
P_emaildomain_anonymous.com,0.00015164240080684185
V106,0.00014749496980342292
V235,0.00014431930723660783
M7_F,0.00014117243883903695
R_emaildomain_hotmail.com,0.00013161523786816423
M7_T,0.00012863582998527855
V211,0.0001272212219223784
V22,0.00012721615091852912
V128,0.00012566291857266584
V52,0.000125112906141898
V5,0.00012332284913011863
M2_T,0.00012244573087340414
ProductCD_W,0.00012050386756997777
V115,0.00012045899531014843
V218,0.00011716699664820514
V151,0.00011602158752634168
V306,0.00011120226168491641
V157,0.00010800372726495442
V57,0.000103606345119299
V284,0.00010192438760041933
V312,0.00010175641285028687
V82,0.00010141525416836771
V135,0.00010138960099173952
Is_Weekend,0.00010103574709825065
V149,9.576520011555644e-05
V165,9.44327443379731e-05
V73,9.118961918223413e-05
V143,9.102451313847616e-05
V116,8.921588837952167e-05
V304,8.693407685165735e-05
M5_T,8.645542975643467e-05
card2,8.623908505277663e-05
M5_F,8.478792781637736e-05
V20,8.239249035500147e-05
D7,8.104442978679127e-05
P_emaildomain_verizon.net,8.01373864859724e-05
C4,7.950085811312299e-05
V308,7.906530390610174e-05
V226,7.862302041076983e-05
V291,7.602539976494642e-05
V129,7.415756576642186e-05
V23,7.360263769223427e-05
V313,7.267756016411154e-05
V60,6.937273020491051e-05
V25,6.890183618399071e-05
V285,6.785070230290054e-05
addr1,6.728946626423768e-05
V124,6.688954494887382e-05
V3,6.673669679297272e-05
V11,6.642187496734186e-05
V87,6.567179073521198e-05
V126,6.429618622133068e-05
C6,6.242398199125723e-05
V154,6.160664894754068e-05
V239,6.0383891235706526e-05
C12,5.960890202729582e-05
V256,5.891668616192125e-05
V276,5.800243312267007e-05
V32,5.7362527415915395e-05
V62,5.664208716103763e-05
V277,5.524459621982111e-05
P_emaildomain_outlook.com,5.5158062701741697e-05
V283,5.1466665730680406e-05
V30,5.135360213625403e-05
D4,5.106305744914982e-05
V58,5.093735743152994e-05
V310,5.055729512706192e-05
V275,4.9610002212263705e-05
P_emaildomain_yahoo.com,4.8943911191720115e-05
V64,4.8334007735966546e-05
V159,4.693593522871379e-05
R_emaildomain_yahoo.com,4.668660020596691e-05
V273,4.642003290174988e-05
V169,4.6018791678528335e-05
V299,4.1647641389001903e-05
V152,4.1601642115669396e-05
V63,4.080889012090682e-05
C9,3.902412026871089e-05
V225,3.879000463601424e-05
V146,3.865406565937882e-05
V264,3.856130313233945e-05
V334,3.7687016033175195e-05
V279,3.615714823309116e-05
V303,3.5727985384304594e-05
V9,3.5256935241992814e-05
V209,3.414894608578009e-05
V125,3.361512079518704e-05
V286,3.348932721705685e-05
V54,3.338559657276104e-05
C11,3.199133604918883e-05
V53,3.1559988570803736e-05
V166,3.042748692996577e-05
V253,3.0230551956592052e-05
V234,3.0164055708783748e-05
V24,2.874860200147926e-05
V15,2.819296692147073e-05
V314,2.720335199054277e-05
V156,2.6932322408234898e-05
V45,2.6438311837763026e-05
V164,2.573830467804351e-05
V123,2.4879975905697233e-05
R_emaildomain_gmail.com,2.430290989619816e-05
P_emaildomain_att.net,2.3402469376073166e-05
V296,2.2987257220978582e-05
V280,2.2467308131463277e-05
V131,2.2078573782150893e-05
V2,2.188013719207075e-05
V4,2.129466756335538e-05
V104,2.0570732314207692e-05
V36,2.0206582075520456e-05
V92,1.9828301540661974e-05
M9_T,1.9291927586998015e-05
V155,1.9197881102964372e-05
V180,1.8629579391435837e-05
V259,1.8233631624049175e-05
C14,1.7897218379234473e-05
V12,1.7891431951754193e-05
P_emaildomain_gmail,1.787287332146535e-05
V315,1.734346285988116e-05
D8,1.7203210865254654e-05
V167,1.7136044776806483e-05
M3_T,1.7083452347136577e-05
