feature,mean_abs_shap
C1,0.0021511244747476677
C14,0.0020995290116992238
C13,0.002043369832821381
V201,0.0014798798601086292
C7,0.0013975406065421388
V317,0.0013611663028229627
ProductCD_C,0.0013372190950752712
C4,0.0011194576035716173
V294,0.0010418903995281104
V200,0.0010366401262947576
V54,0.0010361738867591616
C8,0.0008513022401181874
V295,0.0008433120237968531
V318,0.0008233409098963609
V79,0.0008153823201354565
C12,0.0008058410915669173
V33,0.0007836965810657626
C11,0.0007794784514895551
V90,0.0007793264561075614
V257,0.0006888323816817305
V16,0.0006881204277839821
V70,0.0006793979273690298
C10,0.000673814132421286
card6_debit,0.0006690769874042981
V15,0.0006618776622225075
V34,0.0006515735885236879
C5,0.0005938622289558028
V199,0.0005832309542344653
V308,0.0005778635067811657
V244,0.0005678094788693663
V30,0.0005572791292544757
V94,0.0005429059835618154
card6_credit,0.0005335492369268647
V189,0.0005159597509794096
V133,0.0005036746579233099
V53,0.0004876835782440341
C6,0.0004843761829249507
D2,0.00048244081431558376
V188,0.000480936913883826
C2,0.0004649528280684348
M4_M2,0.0004620096666822166
V258,0.0004301571350708186
V29,0.0004295601255862937
V102,0.0004147126708599628
V91,0.0004125819740468227
card3,0.0004122787246089133
V58,0.0004109259051935972
V283,0.00040403756503100386
V213,0.0004005714545030562
V134,0.000399488962550257
TransactionAmt,0.00039687010896899817
V74,0.00039183869984699154
V212,0.0003857322108776003
V282,0.0003754860038980446
V51,0.00034303954585659555
V242,0.0003204880157549771
V246,0.0003056712801655002
V17,0.00030014034576008187
V211,0.0002996047605016671
D1,0.0002895214231830358
V313,0.0002847891949060062
V179,0.00028207374842362904
V280,0.00027899324200720947
V103,0.00027290333256020253
V243,0.0002678730978601495
V71,0.0002677680704947984
V232,0.00026310510219240576
V198,0.00025688105375541725
V274,0.0002557128863157812
V45,0.00024908930237019163
V281,0.00024399900895925918
V73,0.00024316063667635226
V315,0.00024111795534921584
V273,0.0002361412960692798
V312,0.00023267279345350102
V44,0.00023120780948503977
V69,0.00022602955942329636
V190,0.0002217465773727561
V52,0.00021752566204723113
V128,0.0002141145350297977
V195,0.00021068100055031768
V245,0.00020730998487313972
V265,0.0002072378300344788
V307,0.0002045083882997069
V187,0.00019747261378418265
R_emaildomain_gmail.com,0.00019282264618910428
V287,0.0001919774058969166
V48,0.00018652210628160255
P_emaildomain_gmail.com,0.0001833354537390677
D10,0.0001768726457259646
V316,0.00016410931597847723
V178,0.00016160635442732295
V233,0.00016102701558907146
V314,0.00015727960555215936
D15,0.00015701143320992155
D3,0.00015494074058772074
V92,0.0001542293000516778
V170,0.0001479483415832358
V87,0.00014686624787071576
ProductCD_W,0.0001447568817986714
V59,0.00014129562544892997
V259,0.00013981194237312015
V50,0.00013887812480897543
V126,0.00013754074192361037
V306,0.0001370929200989344
V202,0.00013691150305475516
V43,0.00013686328529157092
V284,0.0001361561613934192
V10,0.00013608226195750751
V186,0.00013548599836519853
V218,0.00013135224623305277
D8,0.00012918671958868832
V132,0.00012858639079117292
card2,0.00012846423513702035
V95,0.00012604306861677364
V285,0.0001256997036120943
V204,0.0001246603809380374
V310,0.00012421469856162392
V302,0.00012371719147723172
D4,0.0001235324532806919
V203,0.00012151155693601394
V39,0.00012015307884408962
V264,0.00011961101117708374
V72,0.00011923397383775668
V275,0.00011821762405322713
V231,0.0001173411649968548
V303,0.00011638273098953072
V97,0.00011631223445182698
V60,0.00011445840585257507
V171,0.00011435650854531677
D5,0.0001117576853743492
V57,0.00010888365407672474
V93,0.0001085365101067445
V49,0.00010641253927645034
V194,0.00010509251489531756
V192,0.00010254948841923588
V149,0.00010214184721438003
card1,9.816320678633735e-05
V40,9.725058426469669e-05
V279,9.668461707425805e-05
V289,9.457437429099787e-05
V249,9.370389936485462e-05
V131,9.198597771284101e-05
V156,8.91884720563927e-05
V263,8.795942531642958e-05
V309,8.753361002402175e-05
V222,8.634047542767111e-05
V293,8.562625630497577e-05
V31,8.5361530037638e-05
V80,8.249154808159333e-05
V62,7.906250455575992e-05
V168,7.896810624580689e-05
V127,7.80022239056379e-05
V84,7.658205065106337e-05
V101,7.561246898658245e-05
