feature,mean_abs_shap
card6_credit,0.012278321631004773
card6_debit,0.008241012539495112
C14,0.008180263380040997
Day_of_Week,0.0039771030199256315
M6_F,0.0039041096398353733
C1,0.0038765697784133675
V90,0.003850097549944493
TransactionAmt,0.003741092568804582
C13,0.0036765382534955948
Hour_of_Day,0.0030728893357483238
V283,0.0030663423314810146
card1,0.0030582535795906536
C6,0.002706119077402542
Is_Weekend,0.0026995759974711084
C2,0.0023645485195810246
M6_T,0.002321447192631248
P_emaildomain_gmail.com,0.0018239211341788129
card4_visa,0.0016800856921170538
D3,0.0015729246446406478
card5,0.001438600600333173
D8,0.0014313161799523848
card2,0.0013575671740072796
C10,0.0012690111247768811
dist1,0.0012517547832898736
D4,0.001233042169155666
addr1,0.0012107917377777748
V76,0.0011857640838633537
P_emaildomain_hotmail.com,0.0010955309235960136
C11,0.0010526164245277247
card4_mastercard,0.001043498401651002
V127,0.0009689966906641404
V35,0.0009591848028989016
card3,0.0008787817811695474
ProductCD_R,0.00086542599934949
C9,0.0008645622188991304
V282,0.0008377008113143827
V126,0.00083726769512049
C8,0.0008319567165509053
C4,0.000825029508792276
D11,0.0008160492055995547
M4_M2,0.0008075390640205052
V290,0.0007692968727093961
V306,0.0007607432999366951
D15,0.0007521154870698188
V36,0.0007318468147362795
dist2,0.000723357659439374
M3_F,0.0006916721012877865
R_emaildomain_gmail.com,0.0006841804974322995
M4_M0,0.0006836413716905834
D5,0.0006705680924961598
D2,0.0006602184945262312
M5_T,0.000651880826047447
P_emaildomain_yahoo.com,0.0006471294727834852
V103,0.0006287498313315688
V292,0.0006277382782016102
V131,0.000616606790033973
V310,0.0005664803529659279
C12,0.000563302861853119
V307,0.0005625032021277137
D10,0.0005595704720036541
V288,0.0005396975594284466
V30,0.0005344740868189422
V45,0.0005205278894163521
V7,0.0005155047366311061
V95,0.0005102879874388518
V29,0.00048682941043310106
V312,0.00047427438873375916
V234,0.00046567810351050054
V96,0.0004278181952265484
V291,0.00042585418920919923
V12,0.000418165170266943
V49,0.00041552290236369563
V128,0.00041433436783140057
V317,0.00034845279494478574
M9_F,0.0003454437379209801
V279,0.0003364620948453726
V295,0.00032394617451892636
D9,0.00030998557349311366
V134,0.0003093985009997463
V48,0.0003055765349628929
M4_M1,0.00030204638397623193
V257,0.00029718519403134
R_emaildomain_hotmail.com,0.00029241950677018266
M5_F,0.00028547384370066885
V62,0.0002750423472406806
V101,0.0002742435830675931
V170,0.00025229765123108453
V21,0.0002469843268792549
V277,0.0002423399674360493
V229,0.0002349584934987049
V293,0.00023357986813600786
V102,0.0002304832692234852
C5,0.00022690276931098966
V188,0.00021803442643567215
V211,0.00021711089136440578
V308,0.00021584835913727792
V289,0.00021217799877560877
V321,0.00020696106224123433
V280,0.00019989407724534084
V217,0.00019633345271607145
V171,0.00019203591562380162
V57,0.0001878000820725436
D14,0.00018122691896566438
D1,0.00017528500496169833
V61,0.00017091597663068965
V209,0.00016901878551829426
V78,0.00016838364218362814
ProductCD_H,0.00016837535792565514
V91,0.00016691324675460718
V194,0.00016656809974353087
V130,0.00016181410075489993
V54,0.00015710497428764005
V87,0.00015610508457464224
V150,0.00015218894258437425
V75,0.0001517061161240344
V315,0.00013739200491038475
V34,0.00013691324439563636
D6,0.0001359584525357328
V294,0.00013487083099991432
M8_F,0.00013430859892109073
V320,0.00013390310920296877
V287,0.00013249116197779456
V313,0.0001312055074355972
M3_T,0.00012981986810879702
V174,0.00012963416578931763
