feature,mean_abs_shap
V84,0.00528550399047134
V92,0.004463552450117595
V43,0.004418463551045356
V16,0.002908580780600626
V87,0.0028179521738866246
V273,0.002114181666736276
V264,0.0021019206268487758
M5_T,0.002037894360327085
V33,0.0019189206870195525
V78,0.0018041137322572962
V73,0.0015280365999898393
V243,0.001347995799090731
card3,0.001134122031975868
V86,0.0009325382938472951
V170,0.0007193721911566642
V60,0.0007082970309662515
V190,0.0007041317344868521
M4_M0,0.0005927270018410356
V39,0.0005671172324999203
V204,0.0005145499692541265
V45,0.00048602785639882283
V59,0.00047889573580803415
C12,0.000425309483208267
V312,0.00039163316515030853
V194,0.0003797264009793562
card6_debit,0.0003491076767564555
V17,0.00032015313649838345
V35,0.0003121395871826905
V176,0.0002933918840325273
V76,0.0002879407631961741
V222,0.00028440835258817886
C10,0.00027760631959688684
V251,0.000275176622366305
V23,0.00025134677920215105
V129,0.00023836827356575274
M8_F,0.00023450599886891077
D13,0.0002281868100933473
V38,0.00022525630628567004
V74,0.00022062384067586416
V52,0.00021311022888795438
M5_F,0.0002124849140658664
card2,0.00021233058195129357
card6_credit,0.00021105218803153306
V197,0.00019989343399351195
V188,0.00019607018453730328
V236,0.00019446679877595536
V292,0.00019278462003454597
V189,0.00015972353284968093
V265,0.00015683890522403418
V258,0.00014766544048965336
V275,0.00014737905094372347
V106,0.000143288256536375
V136,0.00014189808425736115
V277,0.00014068930499959017
V18,0.00013999240435802644
V296,0.00013803787473701563
V308,0.00013500730791442812
P_emaildomain_comcast.net,0.00013011657647117922
V321,0.0001293439440245274
M3_T,0.0001283717117168884
V271,0.00012586849991810735
V22,0.0001253222843823701
C6,0.0001243026468880507
ProductCD_C,0.00012319511987288182
V233,0.00011673459333063713
V279,0.00010913459585233664
V263,0.00010799664742675693
V319,0.0001055609990117624
TransactionAmt,0.00010051197149074289
C4,0.00010039351417286603
V13,9.489766904766869e-05
V318,9.229129819937597e-05
V112,8.95932823499113e-05
V230,8.65488442296109e-05
V323,8.546979320201185e-05
V301,8.347971272814662e-05
V203,8.31729029345378e-05
V250,8.312284371721553e-05
V331,8.071411783132101e-05
V100,8.058149654403223e-05
Is_Weekend,7.669712299820169e-05
card5,7.617933501443293e-05
ProductCD_W,7.140093936079415e-05
M8_T,7.091803908175098e-05
V51,6.973128710114497e-05
Hour_of_Day,6.923162716444116e-05
V80,6.73496749320869e-05
V198,6.570370158302071e-05
V85,6.566777218339159e-05
V31,6.415053536249376e-05
V69,6.283311889393844e-05
Day_of_Week,6.100868356329648e-05
V256,6.0780324857615096e-05
V11,5.9821959349704544e-05
V324,5.9274855729590454e-05
V3,5.728083933312364e-05
V320,5.5783374899181175e-05
V104,5.430541979071887e-05
V303,5.321726529721732e-05
V57,5.1788216375511014e-05
V205,5.138627612966225e-05
V209,5.138085308471496e-05
V114,5.1215937025301735e-05
M7_T,5.0014818271845565e-05
V48,4.983079042029852e-05
V202,4.978969711513804e-05
V50,4.897142444832916e-05
V174,4.7825748315346236e-05
V257,4.694540873394804e-05
P_emaildomain_hotmail.com,4.607707986153113e-05
V81,4.5605947471346464e-05
V77,4.545085553949439e-05
V309,4.463505898240809e-05
V286,4.392009783664905e-05
D8,4.231251941543311e-05
V116,3.994350047272276e-05
V224,3.9498160226329736e-05
V34,3.9334982981672154e-05
V168,3.806560018111631e-05
V169,3.5315716191256924e-05
V300,3.496696556580679e-05
D7,3.4149618713700026e-05
V101,3.2871452320346675e-05
V235,3.266996086692408e-05
card4_visa,3.266066890860016e-05
V134,3.260079568327761e-05
V278,3.207328692791956e-05
V150,3.143042896030779e-05
R_emaildomain_me.com,2.812923194943682e-05
V95,2.8054035860395778e-05
V102,2.7102592389985667e-05
C9,2.6166458558696677e-05
P_emaildomain_live.com.mx,2.5614100453778544e-05
V302,2.5346765518658894e-05
V280,2.4693216785188497e-05
V223,2.4310316843141543e-05
V66,2.136261887866053e-05
C5,1.9499190149731797e-05
ProductCD_H,1.8702010832307024e-05
D4,1.842195292966887e-05
D14,1.799413400457862e-05
V25,1.6829579986899684e-05
V91,1.6259207410232328e-05
V37,1.5426462405588586e-05
V124,1.5345152949424223e-05
V153,1.5282802810954667e-05
V282,1.5046164268167489e-05
V316,1.49041187829054e-05
V266,1.459979810017095e-05
M2_F,1.3212507777717261e-05
V49,1.2941403285038072e-05
V12,1.2882319422988678e-05
D1,1.2576652950630604e-05
V208,1.2508937361485738e-05
V183,1.211792472867294e-05
addr2,9.727539018576462e-06
V5,9.670974987068068e-06
V70,9.065603370372954e-06
D12,8.218940802935502e-06
V276,6.649638528434202e-06
V210,6.155871622402029e-06
V317,5.900521478254901e-06
V332,1.9715143447119126e-06
V294,0.0
V339,0.0
V333,0.0
V334,0.0
V336,0.0
V337,0.0
V338,0.0
V335,0.0
V293,0.0
V297,0.0
V298,0.0
V330,0.0
V274,0.0
V287,0.0
V329,0.0
V315,0.0
V307,0.0
V310,0.0
V285,0.0
V284,0.0
V311,0.0
V289,0.0
V313,0.0
V283,0.0
V314,0.0
V306,0.0
V305,0.0
V328,0.0
V295,0.0
V281,0.0
V304,0.0
V290,0.0
V291,0.0
V288,0.0
V299,0.0
V325,0.0
V326,0.0
V327,0.0
V322,0.0
P_emaildomain_me.com,0.0
ProductCD_R,0.0
P_emaildomain_yahoo.com.mx,0.0
R_emaildomain_optonline.net,0.0
R_emaildomain_msn.com,0.0
R_emaildomain_mac.com,0.0
R_emaildomain_live.com.mx,0.0
R_emaildomain_live.com,0.0
R_emaildomain_icloud.com,0.0
R_emaildomain_hotmail.fr,0.0
R_emaildomain_hotmail.es,0.0
R_emaildomain_hotmail.com,0.0
R_emaildomain_hotmail.co.uk,0.0
R_emaildomain_gmx.de,0.0
R_emaildomain_gmail.com,0.0
R_emaildomain_gmail,0.0
R_emaildomain_cox.net,0.0
R_emaildomain_comcast.net,0.0
R_emaildomain_charter.net,0.0
R_emaildomain_cfl.rr.com,0.0
R_emaildomain_cableone.net,0.0
R_emaildomain_bellsouth.net,0.0
R_emaildomain_att.net,0.0
R_emaildomain_aol.com,0.0
R_emaildomain_anonymous.com,0.0
P_emaildomain_ymail.com,0.0
R_emaildomain_outlook.com,0.0
R_emaildomain_outlook.es,0.0
R_emaildomain_prodigy.net.mx,0.0
R_emaildomain_ymail.com,0.0
M9_F,0.0
M7_F,0.0
M6_T,0.0
M6_F,0.0
M4_M2,0.0
M4_M1,0.0
M3_F,0.0
M2_T,0.0
M1_T,0.0
M1_F,0.0
R_emaildomain_yahoo.fr,0.0
R_emaildomain_protonmail.com,0.0
R_emaildomain_yahoo.com.mx,0.0
R_emaildomain_yahoo.com,0.0
R_emaildomain_yahoo.co.uk,0.0
R_emaildomain_yahoo.co.jp,0.0
R_emaildomain_web.de,0.0
R_emaildomain_verizon.net,0.0
R_emaildomain_servicios-ta.com,0.0
R_emaildomain_sbcglobal.net,0.0
R_emaildomain_rocketmail.com,0.0
R_emaildomain_q.com,0.0
P_emaildomain_yahoo.fr,0.0
P_emaildomain_yahoo.com,0.0
ProductCD_S,0.0
P_emaildomain_yahoo.co.uk,0.0
P_emaildomain_hotmail.es,0.0
P_emaildomain_hotmail.co.uk,0.0
P_emaildomain_gmx.de,0.0
P_emaildomain_gmail.com,0.0
P_emaildomain_gmail,0.0
P_emaildomain_frontiernet.net,0.0
P_emaildomain_frontier.com,0.0
P_emaildomain_embarqmail.com,0.0
P_emaildomain_earthlink.net,0.0
P_emaildomain_cox.net,0.0
P_emaildomain_charter.net,0.0
P_emaildomain_cfl.rr.com,0.0
P_emaildomain_centurylink.net,0.0
P_emaildomain_cableone.net,0.0
P_emaildomain_bellsouth.net,0.0
P_emaildomain_att.net,0.0
P_emaildomain_aol.com,0.0
P_emaildomain_anonymous.com,0.0
P_emaildomain_aim.com,0.0
card6_charge card,0.0
card4_mastercard,0.0
card4_discover,0.0
card4_american express,0.0
P_emaildomain_hotmail.fr,0.0
P_emaildomain_icloud.com,0.0
P_emaildomain_juno.com,0.0
P_emaildomain_roadrunner.com,0.0
P_emaildomain_yahoo.co.jp,0.0
P_emaildomain_windstream.net,0.0
P_emaildomain_web.de,0.0
P_emaildomain_verizon.net,0.0
P_emaildomain_twc.com,0.0
P_emaildomain_suddenlink.net,0.0
P_emaildomain_servicios-ta.com,0.0
P_emaildomain_sc.rr.com,0.0
P_emaildomain_sbcglobal.net,0.0
P_emaildomain_rocketmail.com,0.0
P_emaildomain_q.com,0.0
P_emaildomain_live.com,0.0
P_emaildomain_protonmail.com,0.0
P_emaildomain_prodigy.net.mx,0.0
P_emaildomain_outlook.es,0.0
P_emaildomain_outlook.com,0.0
P_emaildomain_optonline.net,0.0
P_emaildomain_netzero.net,0.0
P_emaildomain_netzero.com,0.0
P_emaildomain_msn.com,0.0
P_emaildomain_mail.com,0.0
P_emaildomain_mac.com,0.0
V272,0.0
V215,0.0
V270,0.0
V54,0.0
V96,0.0
V94,0.0
V93,0.0
V90,0.0
V89,0.0
V88,0.0
V83,0.0
V82,0.0
V79,0.0
V75,0.0
V72,0.0
V71,0.0
V68,0.0
V67,0.0
V65,0.0
V64,0.0
V63,0.0
V62,0.0
V61,0.0
V58,0.0
V56,0.0
V97,0.0
V98,0.0
V99,0.0
V119,0.0
V130,0.0
V128,0.0
V127,0.0
V126,0.0
V125,0.0
V123,0.0
V122,0.0
V121,0.0
V120,0.0
V118,0.0
V103,0.0
V117,0.0
V115,0.0
V113,0.0
V111,0.0
V110,0.0
V109,0.0
V108,0.0
V107,0.0
V105,0.0
V55,0.0
V53,0.0
V132,0.0
V47,0.0
V2,0.0
V1,0.0
D15,0.0
D11,0.0
D10,0.0
D9,0.0
D6,0.0
D5,0.0
D3,0.0
D2,0.0
C14,0.0
C13,0.0
C11,0.0
C8,0.0
C7,0.0
C3,0.0
C2,0.0
C1,0.0
dist2,0.0
dist1,0.0
addr1,0.0
V4,0.0
V6,0.0
V7,0.0
V28,0.0
V46,0.0
V44,0.0
V42,0.0
V41,0.0
V40,0.0
V36,0.0
V32,0.0
V30,0.0
V29,0.0
V27,0.0
V8,0.0
V26,0.0
V24,0.0
V21,0.0
V20,0.0
V19,0.0
V15,0.0
V14,0.0
V10,0.0
V9,0.0
V131,0.0
V133,0.0
V269,0.0
V196,0.0
V231,0.0
V229,0.0
V228,0.0
V227,0.0
V226,0.0
V225,0.0
V221,0.0
V220,0.0
V219,0.0
V218,0.0
V217,0.0
V216,0.0
card1,0.0
V214,0.0
V213,0.0
V212,0.0
V211,0.0
V207,0.0
V206,0.0
V201,0.0
V200,0.0
V232,0.0
V234,0.0
V237,0.0
V252,0.0
V268,0.0
V267,0.0
V262,0.0
V261,0.0
V260,0.0
V259,0.0
V255,0.0
V254,0.0
V253,0.0
V249,0.0
V238,0.0
V248,0.0
V247,0.0
V246,0.0
V245,0.0
V244,0.0
V242,0.0
V241,0.0
V240,0.0
V239,0.0
V199,0.0
V195,0.0
V135,0.0
V193,0.0
V159,0.0
V158,0.0
V157,0.0
V156,0.0
V155,0.0
V154,0.0
V152,0.0
V151,0.0
V149,0.0
V148,0.0
V147,0.0
V146,0.0
V145,0.0
V144,0.0
V143,0.0
V142,0.0
V141,0.0
V140,0.0
V139,0.0
V138,0.0
V137,0.0
V160,0.0
V161,0.0
V162,0.0
V179,0.0
V192,0.0
V191,0.0
V187,0.0
V186,0.0
V185,0.0
V184,0.0
V182,0.0
V181,0.0
V180,0.0
V178,0.0
V163,0.0
V177,0.0
V175,0.0
V173,0.0
V172,0.0
V171,0.0
V167,0.0
V166,0.0
V165,0.0
V164,0.0
M9_T,0.0
