feature,mean_abs_shap
ProductCD_W,0.43733589955114893
M6_F,0.3246187476782619
card6_debit,0.3111978243501399
M4_M0,0.3076770883130561
card4_visa,0.26216495824620983
card6_credit,0.24460448900002899
M5_F,0.2022405758920221
M6_T,0.20150273690598802
R_emaildomain_gmail.com,0.19337342250022732
M8_F,0.16192200245717192
card4_mastercard,0.16052064880648156
M3_T,0.11395399589066203
P_emaildomain_gmail.com,0.11062260865217505
M2_T,0.07317138733711413
M7_F,0.07255491875563222
M3_F,0.06805954287413227
M8_T,0.06650166289239229
M5_T,0.0624996787434457
M9_T,0.03630561423109817
M2_F,0.030993592453148523
M7_T,0.02595126297031152
M4_M1,0.022259740878062716
P_emaildomain_yahoo.com,0.016392885156440745
dist1,0.01421268753517593
M4_M2,0.013106639422173464
ProductCD_C,0.006733041367319773
TransactionAmt,0.005045668842258533
M9_F,0.0048948466901230624
V302,0.0047623196594237215
ProductCD_R,0.004704346222326456
V152,0.004132267406077498
V257,0.004108937362741862
D5,0.003849653880976715
V69,0.003726066990835315
V90,0.003050302901827851
V99,0.002854241277541146
P_emaildomain_hotmail.com,0.0027790296481611894
V199,0.0027505851868736613
V29,0.0020199700780816785
V136,0.001848636012321795
V91,0.0017993558715527623
P_emaildomain_aol.com,0.0017862071093311027
R_emaildomain_anonymous.com,0.0017564148590676234
V190,0.0017127014715747455
V242,0.0015809349305860399
R_emaildomain_hotmail.com,0.0014920609516993844
V31,0.0012873593387326965
V71,0.0012734026777419549
card4_american express,0.0012698213823786123
P_emaildomain_anonymous.com,0.0009014890509334186
V129,0.0005866165020164085
D10,0.0005094318597929247
V116,0.0004547970587662335
V67,0.00012358433576619142
R_emaildomain_cox.net,0.0
R_emaildomain_gmail,0.0
R_emaildomain_gmx.de,0.0
R_emaildomain_hotmail.co.uk,0.0
R_emaildomain_hotmail.es,0.0
R_emaildomain_hotmail.fr,0.0
R_emaildomain_icloud.com,0.0
R_emaildomain_live.com,0.0
R_emaildomain_live.com.mx,0.0
R_emaildomain_mac.com,0.0
R_emaildomain_me.com,0.0
R_emaildomain_msn.com,0.0
R_emaildomain_optonline.net,0.0
R_emaildomain_outlook.com,0.0
R_emaildomain_outlook.es,0.0
C1,0.0
V19,0.0
V20,0.0
V21,0.0
V22,0.0
V23,0.0
V24,0.0
V25,0.0
V26,0.0
V27,0.0
V28,0.0
V30,0.0
V32,0.0
V33,0.0
V34,0.0
V35,0.0
V36,0.0
V37,0.0
V38,0.0
V39,0.0
V40,0.0
V41,0.0
V42,0.0
V43,0.0
V44,0.0
V45,0.0
V46,0.0
V47,0.0
V48,0.0
V49,0.0
V50,0.0
V51,0.0
V52,0.0
V53,0.0
V54,0.0
V55,0.0
V56,0.0
V57,0.0
V58,0.0
V59,0.0
V60,0.0
V61,0.0
V62,0.0
V63,0.0
V64,0.0
V65,0.0
V66,0.0
V68,0.0
V70,0.0
V72,0.0
V73,0.0
V74,0.0
V75,0.0
V76,0.0
V77,0.0
V78,0.0
V79,0.0
V80,0.0
V81,0.0
V82,0.0
V83,0.0
V84,0.0
V85,0.0
V86,0.0
V87,0.0
V88,0.0
V89,0.0
V92,0.0
V93,0.0
V94,0.0
V95,0.0
V96,0.0
V97,0.0
V98,0.0
V100,0.0
V101,0.0
V102,0.0
V103,0.0
V104,0.0
V105,0.0
V106,0.0
V107,0.0
V108,0.0
V109,0.0
V110,0.0
V111,0.0
V112,0.0
V113,0.0
V114,0.0
V115,0.0
V117,0.0
V118,0.0
V119,0.0
V120,0.0
V121,0.0
V122,0.0
V123,0.0
V124,0.0
V125,0.0
V126,0.0
V127,0.0
V128,0.0
V130,0.0
V131,0.0
V132,0.0
V133,0.0
V134,0.0
V135,0.0
V137,0.0
V138,0.0
V139,0.0
V140,0.0
V141,0.0
V142,0.0
V143,0.0
V144,0.0
V145,0.0
V146,0.0
V147,0.0
V148,0.0
V149,0.0
V150,0.0
V151,0.0
V153,0.0
V154,0.0
V155,0.0
V156,0.0
V157,0.0
V158,0.0
V159,0.0
V160,0.0
V161,0.0
V162,0.0
V163,0.0
V164,0.0
V165,0.0
V166,0.0
V167,0.0
V168,0.0
V169,0.0
V170,0.0
V171,0.0
V172,0.0
V173,0.0
V174,0.0
V175,0.0
V176,0.0
V177,0.0
V178,0.0
V179,0.0
V180,0.0
V181,0.0
V182,0.0
V183,0.0
V184,0.0
V185,0.0
V186,0.0
V187,0.0
V188,0.0
V189,0.0
V191,0.0
V192,0.0
V193,0.0
V194,0.0
V195,0.0
V196,0.0
V197,0.0
V198,0.0
V200,0.0
V201,0.0
V202,0.0
V203,0.0
V204,0.0
V205,0.0
V206,0.0
V207,0.0
V208,0.0
V209,0.0
V210,0.0
V211,0.0
V212,0.0
V213,0.0
V214,0.0
V215,0.0
V216,0.0
V217,0.0
V218,0.0
V219,0.0
V220,0.0
V221,0.0
V222,0.0
V223,0.0
V224,0.0
V225,0.0
V226,0.0
V227,0.0
V228,0.0
V229,0.0
V230,0.0
V231,0.0
V232,0.0
V233,0.0
V234,0.0
V235,0.0
V236,0.0
V237,0.0
V238,0.0
V239,0.0
V240,0.0
V241,0.0
C6,0.0
V243,0.0
V244,0.0
V245,0.0
V246,0.0
V247,0.0
V248,0.0
V249,0.0
V250,0.0
V251,0.0
V252,0.0
V253,0.0
V254,0.0
V255,0.0
V256,0.0
C7,0.0
V258,0.0
V259,0.0
V260,0.0
V261,0.0
V262,0.0
V263,0.0
V264,0.0
V265,0.0
V266,0.0
V267,0.0
V268,0.0
V269,0.0
V270,0.0
V271,0.0
V272,0.0
V273,0.0
V274,0.0
V275,0.0
V276,0.0
V277,0.0
V278,0.0
V279,0.0
V280,0.0
V281,0.0
V282,0.0
V283,0.0
V284,0.0
V285,0.0
V286,0.0
V287,0.0
V288,0.0
V289,0.0
V290,0.0
V291,0.0
V292,0.0
V293,0.0
V294,0.0
V295,0.0
V296,0.0
V297,0.0
V298,0.0
V299,0.0
V300,0.0
V301,0.0
C8,0.0
V303,0.0
V304,0.0
V305,0.0
V306,0.0
V307,0.0
V308,0.0
V309,0.0
V310,0.0
V311,0.0
V312,0.0
V313,0.0
V314,0.0
V315,0.0
V316,0.0
V317,0.0
V318,0.0
V319,0.0
V320,0.0
V321,0.0
V322,0.0
V323,0.0
V324,0.0
V325,0.0
V326,0.0
V327,0.0
V328,0.0
V329,0.0
V330,0.0
V331,0.0
V332,0.0
V333,0.0
V334,0.0
V335,0.0
V336,0.0
V337,0.0
V338,0.0
V339,0.0
Hour_of_Day,0.0
Day_of_Week,0.0
Is_Weekend,0.0
C9,0.0
ProductCD_H,0.0
C10,0.0
ProductCD_S,0.0
C11,0.0
C12,0.0
card4_discover,0.0
C13,0.0
C14,0.0
card6_charge card,0.0
D1,0.0
R_emaildomain_aol.com,0.0
P_emaildomain_aim.com,0.0
V18,0.0
R_emaildomain_yahoo.co.jp,0.0
P_emaildomain_att.net,0.0
P_emaildomain_bellsouth.net,0.0
P_emaildomain_cableone.net,0.0
P_emaildomain_centurylink.net,0.0
P_emaildomain_cfl.rr.com,0.0
P_emaildomain_charter.net,0.0
P_emaildomain_comcast.net,0.0
P_emaildomain_cox.net,0.0
P_emaildomain_earthlink.net,0.0
P_emaildomain_embarqmail.com,0.0
P_emaildomain_frontier.com,0.0
P_emaildomain_frontiernet.net,0.0
P_emaildomain_gmail,0.0
R_emaildomain_prodigy.net.mx,0.0
P_emaildomain_gmx.de,0.0
P_emaildomain_hotmail.co.uk,0.0
D9,0.0
P_emaildomain_hotmail.es,0.0
P_emaildomain_hotmail.fr,0.0
P_emaildomain_icloud.com,0.0
P_emaildomain_juno.com,0.0
P_emaildomain_live.com,0.0
P_emaildomain_live.com.mx,0.0
P_emaildomain_mac.com,0.0
P_emaildomain_mail.com,0.0
P_emaildomain_me.com,0.0
P_emaildomain_msn.com,0.0
P_emaildomain_netzero.com,0.0
