feature,mean_abs_shap
C13,0.0017225249561587095
C8,0.0016804817631592877
C14,0.001595066981673896
V257,0.0011134547991202462
V43,0.0010938304576474933
C12,0.0010670076661321122
C10,0.001044059355309483
V258,0.001038687789590407
C1,0.0010354054000527005
V16,0.001024754425583341
C7,0.0009894966695416238
V273,0.0009508341261237595
V316,0.0009121400881507425
V263,0.0009091574453950903
V265,0.0008999634420272674
V86,0.0008597891558391515
V87,0.0008307329859855148
V295,0.000802092521775526
V219,0.0007820935138873127
V318,0.0007433600951955792
V45,0.0007394155550049633
V134,0.0007160733673777854
V79,0.000704923632393967
V132,0.0006875075861217831
V39,0.0006859167091163794
V307,0.0006755107732320121
ProductCD_C,0.000645463838953338
V315,0.0006341391056066036
V21,0.0006184109120066864
C4,0.0005986953972234308
V243,0.0005815251470564266
card3,0.0005755211860312638
V127,0.0005704520572135061
V275,0.0005662442419138878
D8,0.0005577263804970245
V92,0.0005342399138686859
V264,0.0005246153961974558
V246,0.0005243413912019852
V188,0.0005222621615341722
V309,0.0005150054466289936
V313,0.0005124570288229164
V187,0.0004933094613383286
V308,0.00047989225688199944
V200,0.0004741226568391107
V203,0.000466419922505147
C2,0.0004605541255560845
V317,0.0004566166726232758
V93,0.00044856657724613854
V204,0.0004327054698662954
V312,0.0004239503139129042
V218,0.00042309280033557973
V283,0.00042204075030435683
V189,0.00041919952538967207
V274,0.0004173498559182923
V35,0.0004154802321648034
V17,0.000408728993916265
V277,0.000405800396237494
V306,0.0003950837912705748
V128,0.00038557860719541176
V233,0.00037847502968644685
C11,0.0003781533295784726
V279,0.0003586630752333742
V51,0.00035616839865979395
V294,0.0003546431440248031
TransactionAmt,0.00035451594004781207
V95,0.0003509879250890349
D4,0.00034568030062645235
V133,0.00034553394570306775
M4_M2,0.00034014460446294125
V201,0.0003387325304117484
Hour_of_Day,0.0003349638859671569
V199,0.00032206867593494274
V229,0.00031931919739039427
V103,0.0003163912743077883
D1,0.0003047649922740995
D2,0.00030251089885226186
C6,0.00029212086409629033
V280,0.0002902296283110601
V31,0.00028795540178993976
V217,0.0002856000061723535
V126,0.0002836543949480505
V202,0.0002792190970302432
V333,0.0002773847594579911
V34,0.0002773592429635113
D15,0.0002746515923371524
D3,0.0002733536500171421
V54,0.00027066392591325084
V18,0.00026933469305044145
V57,0.00026928909746303816
V58,0.0002659757911260372
V232,0.00025964708364444093
V314,0.0002596329499136097
V168,0.00025268040606550883
V36,0.0002452995413241141
V242,0.00024317334764628428
V245,0.00024001528812566007
V94,0.0002388728162237142
V102,0.00023591862443680852
V287,0.00023505449004493657
V69,0.00023453199847868922
card6_debit,0.0002331664749643007
dist2,0.00022775999408422093
V244,0.00022695248540058414
V73,0.0002268552373341198
card5,0.00022676985466434433
card1,0.00022638371956979294
V23,0.0002243584415376245
V170,0.00022345227093377388
V289,0.00021096938558676546
D5,0.0002067642513448052
V222,0.00020643967950916377
V230,0.0002043125309996508
V298,0.00020239371173442144
V24,0.00020213406166590258
V310,0.0002000206042800424
V285,0.0001990868013651206
V186,0.00019647833017541412
V40,0.00019629897943016726
V195,0.00018936051954001416
V214,0.00018780044075443304
V213,0.00018641527808204957
R_emaildomain_gmail.com,0.0001861093554349787
P_emaildomain_gmail.com,0.00018607758144601938
card2,0.00018506047020598748
V301,0.00018465406558753732
V30,0.00018259517676152046
V171,0.00018118250817114034
V281,0.00017779678113803138
V71,0.00017419184213844657
V259,0.00017391013732355557
D10,0.00016945306942311905
V90,0.00016901903444294084
V167,0.00016854136509436023
Day_of_Week,0.00016560722456136689
D14,0.00016502329735469266
D11,0.0001611206282617418
V228,0.00015909911477285195
V38,0.000157135962069516
C5,0.00015653537885530657
V80,0.00015606191718117778
V282,0.00015357748448459002
V96,0.00015307065900131635
V99,0.00015169237636467858
V74,0.0001510750705423554
addr1,0.0001507541611963706
V29,0.00014869565056063893
V149,0.00014279086863640706
V146,0.00014231962496120065
V44,0.00013891659027072953
V64,0.0001381096641117808
V231,0.00013797279787637528
V63,0.00013753668588663607
V332,0.0001357458178483645
V131,0.00013557949436788147
V221,0.0001345180923906596
V320,0.00013011247631268237
V329,0.0001295722238911522
V124,0.0001291693384494556
V75,0.0001269121567044852
V91,0.00012545535733537641
V70,0.00012476404109975072
V293,0.0001239107781145091
V194,0.0001230082576459836
V321,0.00011726977446581974
V130,0.00011681667881264024
V60,0.00011348179046617756
V271,0.00010773765168901261
V78,0.00010767055869677781
V178,0.00010634988852591052
V52,0.00010498799457985984
V101,0.00010389550416588847
V32,0.00010049696572670277
V84,9.730551298262815e-05
V174,9.72730968317038e-05
V125,9.720502942779796e-05
V267,9.662417919191734e-05
V292,9.653184509484907e-05
V209,9.325837520313617e-05
V81,9.192161491553757e-05
V33,9.132063178330642e-05
V288,9.095035087875575e-05
V137,9.052943936332681e-05
ProductCD_W,8.979789355776986e-05
V304,8.793050306469402e-05
V303,8.741707566090848e-05
card6_credit,8.688015179681757e-05
V115,8.576184795949305e-05
V278,8.505952313359697e-05
V337,8.409473323544365e-05
V323,8.408875527350208e-05
V56,8.293461630397463e-05
V106,8.290290831974194e-05
V83,8.279678274245252e-05
D9,8.092459693355058e-05
V324,7.855537477380472e-05
V296,7.83395380154612e-05
V261,7.831951369186821e-05
V53,7.809536450744425e-05
V236,7.753704642017956e-05
V76,7.516129811067431e-05
V291,7.478175847685844e-05
V85,7.269834676587421e-05
V82,7.21640620190802e-05
V50,7.167806462239977e-05
