col_name,feature_importance_vals
cat__EMPLOYMENT_TYPE_Self employed,0.08746311383014799
num__PRI_ACTIVE_ACCTS,0.0818705185532961
cat__EMPLOYMENT_TYPE_Salaried,0.0726757399553929
num__LTV,0.05766295835120823
num__PRI_NO_OF_ACCTS,0.044834631979116794
num__CURRENT_PINCODE_ID,0.04135209619425081
num__PRI_SANCTIONED_AMOUNT,0.03553222019590476
num__PERFORM_CNS_SCORE,0.03216896456819029
num__MANUFACTURER_ID,0.03131462552448636
num__STATE_ID,0.030040045540671908
num__DISBURSED_AMOUNT,0.02385968627728882
num__PRIMARY_INSTAL_AMT,0.02297365525316387
num__PRI_CURRENT_BALANCE,0.01983117919901366
num__BRANCH_ID,0.017265674345001793
cat__CREDIT_HISTORY_LENGTH_0yrs 0mon,0.016446837539569097
num__PRI_DISBURSED_AMOUNT,0.01222067733996688
num__NO_OF_INQUIRIES,0.010677120295107903
num__NEW_ACCTS_IN_LAST_SIX_MONTHS,0.01029487200399749
num__SUPPLIER_ID,0.010030347210270298
cat__CREDIT_HISTORY_LENGTH_infrequent_sklearn,0.009890713943392778
cat__PERFORM_CNS_SCORE_DESCRIPTION_No Bureau History Available,0.009877209832597806
cat__PERFORM_CNS_SCORE_DESCRIPTION_A-Very Low Risk,0.00877211674948455
num__EMPLOYEE_CODE_ID,0.008340897291556239
num__ASSET_COST,0.0065635123469059
cat__PERFORM_CNS_SCORE_DESCRIPTION_C-Very Low Risk,0.005817168092208357
num__PAN_FLAG,0.004414750871293731
cat__PERFORM_CNS_SCORE_DESCRIPTION_infrequent_sklearn,0.0040300148687092
num__PRI_OVERDUE_ACCTS,0.003718282504718148
num__DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,0.002809180001588697
num__DRIVING_FLAG,0.0015077864327864526
cat__AVERAGE_ACCT_AGE_0yrs 0mon,0.0011959534867385705
num__VOTERID_FLAG,0.0010793854311325131
num__AADHAR_FLAG,0.0007197362806622454
num__SEC_NO_OF_ACCTS,0.000700709358554908
num__SEC_CURRENT_BALANCE,0.00012208033891730944
num__SEC_SANCTIONED_AMOUNT,6.213445728752013e-05
num__SEC_DISBURSED_AMOUNT,4.802078745842488e-05
num__SEC_INSTAL_AMT,4.2706791922500274e-05
num__SEC_ACTIVE_ACCTS,3.783367685855557e-05
num__SEC_OVERDUE_ACCTS,1.9319901410348415e-05
num__MOBILENO_AVL_FLAG,0.0
num__PASSPORT_FLAG,0.0
cat__DISBURSAL_DATE_infrequent_sklearn,0.0
cat__AVERAGE_ACCT_AGE_infrequent_sklearn,0.0
