col_name,feature_importance_vals
num__VOTERID_FLAG,0.2558179471941737
num__AADHAR_FLAG,0.2068924342907326
num__PAN_FLAG,0.15862472968778632
cat__PERFORM_CNS_SCORE_DESCRIPTION_C-Very Low Risk,0.1364489515701203
num__LTV,0.12940064725345365
num__BRANCH_ID,0.12263482552583159
num__NO_OF_INQUIRIES,0.12260611586139147
num__STATE_ID,0.10338537735851899
num__PRI_CURRENT_BALANCE,0.10069869436260742
num__PRI_SANCTIONED_AMOUNT,0.09379768059328851
num__EMPLOYEE_CODE_ID,0.09040908729776906
cat__CREDIT_HISTORY_LENGTH_infrequent_sklearn,0.09026870231375698
num__DISBURSED_AMOUNT,0.08831318281085754
cat__AVERAGE_ACCT_AGE_0yrs 0mon,0.08750493706823778
cat__PERFORM_CNS_SCORE_DESCRIPTION_A-Very Low Risk,0.08204852081974694
cat__EMPLOYMENT_TYPE_Self employed,0.08000447786733157
cat__PERFORM_CNS_SCORE_DESCRIPTION_infrequent_sklearn,0.07807265270279158
num__PRI_DISBURSED_AMOUNT,0.07738920875586071
num__DRIVING_FLAG,0.07501445052517224
num__ASSET_COST,0.07496301176155175
num__PRI_NO_OF_ACCTS,0.07374395428744962
num__NEW_ACCTS_IN_LAST_SIX_MONTHS,0.07109979525595934
num__PRIMARY_INSTAL_AMT,0.06927408018741489
num__CURRENT_PINCODE_ID,0.06903639144478556
cat__EMPLOYMENT_TYPE_Salaried,0.06508207109360324
num__PRI_OVERDUE_ACCTS,0.06445836873680617
num__SUPPLIER_ID,0.0599454953712349
num__MANUFACTURER_ID,0.059584433661356725
num__DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,0.05614326085202706
cat__AVERAGE_ACCT_AGE_infrequent_sklearn,0.0522054740861721
num__PRI_ACTIVE_ACCTS,0.05123271614989946
num__PERFORM_CNS_SCORE,0.051003417584648075
cat__PERFORM_CNS_SCORE_DESCRIPTION_No Bureau History Available,0.04016732626795424
cat__CREDIT_HISTORY_LENGTH_0yrs 0mon,0.03651241700212356
num__SEC_NO_OF_ACCTS,0.027400793890173157
num__SEC_SANCTIONED_AMOUNT,0.025032510715523853
num__SEC_DISBURSED_AMOUNT,0.02253372350945445
num__SEC_ACTIVE_ACCTS,0.022359314611267708
num__SEC_INSTAL_AMT,0.013542663712698313
num__SEC_CURRENT_BALANCE,0.012917972345448054
num__SEC_OVERDUE_ACCTS,0.0077768472558511345
num__PASSPORT_FLAG,0.003694371718259378
num__MOBILENO_AVL_FLAG,0.0
cat__DISBURSAL_DATE_infrequent_sklearn,0.0
