col_name,feature_importance_vals
cat__EMPLOYMENT_TYPE_Salaried,0.501804939306148
cat__EMPLOYMENT_TYPE_Self employed,0.5012919425648422
cat__CREDIT_HISTORY_LENGTH_infrequent_sklearn,0.498960442367166
cat__AVERAGE_ACCT_AGE_0yrs 0mon,0.4986432132089488
cat__CREDIT_HISTORY_LENGTH_0yrs 0mon,0.4981014367906388
cat__AVERAGE_ACCT_AGE_infrequent_sklearn,0.49752882492720524
cat__PERFORM_CNS_SCORE_DESCRIPTION_No Bureau History Available,0.30895769722563104
cat__PERFORM_CNS_SCORE_DESCRIPTION_infrequent_sklearn,0.27392173610173304
num__PERFORM_CNS_SCORE,0.09200612981156343
cat__PERFORM_CNS_SCORE_DESCRIPTION_A-Very Low Risk,0.04514589356201324
cat__PERFORM_CNS_SCORE_DESCRIPTION_C-Very Low Risk,0.027111347159380912
num__PRI_OVERDUE_ACCTS,0.0003878332732402805
num__PAN_FLAG,0.0
num__AADHAR_FLAG,0.0
num__MOBILENO_AVL_FLAG,0.0
num__EMPLOYEE_CODE_ID,0.0
num__STATE_ID,0.0
num__CURRENT_PINCODE_ID,0.0
num__MANUFACTURER_ID,0.0
num__SUPPLIER_ID,0.0
num__BRANCH_ID,0.0
num__LTV,0.0
num__ASSET_COST,0.0
num__DISBURSED_AMOUNT,0.0
num__PASSPORT_FLAG,0.0
num__PRI_NO_OF_ACCTS,0.0
num__DRIVING_FLAG,0.0
num__VOTERID_FLAG,0.0
num__SEC_DISBURSED_AMOUNT,0.0
num__SEC_SANCTIONED_AMOUNT,0.0
num__SEC_CURRENT_BALANCE,0.0
num__SEC_OVERDUE_ACCTS,0.0
num__SEC_ACTIVE_ACCTS,0.0
num__SEC_NO_OF_ACCTS,0.0
num__PRI_DISBURSED_AMOUNT,0.0
num__PRI_SANCTIONED_AMOUNT,0.0
num__PRI_CURRENT_BALANCE,0.0
num__PRI_ACTIVE_ACCTS,0.0
cat__DISBURSAL_DATE_infrequent_sklearn,0.0
num__NO_OF_INQUIRIES,0.0
num__SEC_INSTAL_AMT,0.0
num__PRIMARY_INSTAL_AMT,0.0
num__NEW_ACCTS_IN_LAST_SIX_MONTHS,0.0
num__DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,0.0
